date,year,p_down,fwd7,state,composite_smooth
2024-05-17,2024,0.5220357233337612,2.8221221941183927,多頭,9.4
2024-05-20,2024,0.5378463971663694,1.8375178582929363,多頭,10.2
2024-05-21,2024,0.5001571598134423,0.6014573793071021,多頭,10.3
2024-05-22,2024,0.5184222585319347,-1.7521017936759975,多頭,10.2
2024-05-23,2024,0.4713525480471817,-0.32706342216544115,多頭,1.9
2024-05-24,2024,0.4783409275979551,-0.9678493360178897,多頭,2.3
2024-05-27,2024,0.45422058224407846,-1.4625452387362348,多頭,0.4
2024-05-28,2024,0.4582530295248916,0.20262224013549712,多頭,-6.8
2024-05-29,2024,0.42981913893575896,0.9042354298903765,多頭,-19.3
2024-05-30,2024,0.4572344311671414,2.0016401054460564,多頭,-21.4
2024-05-31,2024,0.46178062830442307,4.131155716715873,多頭,-25.8
2024-06-03,2024,0.5241180114982038,3.5997986698092177,多頭,-27.6
2024-06-04,2024,0.5012323658212049,5.375850672999771,多頭,-27.6
2024-06-05,2024,0.49836231062844194,4.708660229891892,多頭,-22.0
2024-06-06,2024,0.45220435988870705,3.9023955950636235,多頭,-8.6
2024-06-07,2024,0.4702099321603832,6.1814279008783,多頭,-10.0
2024-06-11,2024,0.48982943220128766,7.406255105056325,多頭,-17.5
2024-06-12,2024,0.479858976062733,5.46252521660886,多頭,-12.0
2024-06-13,2024,0.48233763360276943,2.248382487661371,多頭,-7.4
2024-06-14,2024,0.4733489663877787,1.6496539392625298,多頭,-7.5
2024-06-17,2024,0.4778067347456364,2.1788249121086567,多頭,-10.1
2024-06-18,2024,0.35999505707729557,0.6527538478641848,多頭,-6.0
2024-06-19,2024,0.39637220201359374,-0.7638669271342824,多頭,1.2
2024-06-20,2024,0.4180234553472843,-1.4847838811249958,多頭,-2.2
2024-06-21,2024,0.4082268455447607,-1.6084536491238532,多頭,-9.3
2024-06-24,2024,0.3676881124560077,1.5724323542432916,多頭,-12.2
2024-06-25,2024,0.40748611343461316,2.826371952752149,多頭,-13.7
2024-06-26,2024,0.3801761932397563,2.4792608244162295,多頭,-19.3
2024-06-27,2024,0.4017666721949058,4.244175538440187,多頭,-20.1
2024-06-28,2024,0.4426684639086516,3.76789067503176,多頭,-20.7
2024-07-01,2024,0.42233835982575724,4.113481451798617,多頭,-19.3
2024-07-02,2024,0.37049513541039464,6.602716770610373,多頭,-22.5
2024-07-03,2024,0.36875533171877434,3.212869776713112,多頭,-18.4
2024-07-04,2024,0.3546231720845247,1.5169711761447546,多頭,-13.2
2024-07-05,2024,0.37672603604054766,1.87064426557495,多頭,-13.9
2024-07-08,2024,0.3879005714060936,-0.45367836285474805,多頭,-12.5
2024-07-09,2024,0.38740271262867276,-2.0987795856750258,多頭,-16.8
2024-07-10,2024,0.36664311217889883,-4.739518508706608,多頭,-17.7
2024-07-11,2024,0.3514972689540619,-8.745540698391919,多頭,-19.4
2024-07-12,2024,0.3683990884278393,-4.369666173710418,多頭,-28.2
2024-07-15,2024,0.39655819293981764,-7.371009943315066,多頭,-23.5
2024-07-16,2024,0.37896335779953005,-7.637375115898692,多頭,-20.2
2024-07-17,2024,0.3358517533004148,-6.505097640621593,多頭,-19.4
2024-07-18,2024,0.3564378378651691,-5.12477952618271,多頭,-25.5
2024-07-19,2024,0.3236441227150622,-0.9932984276710299,多頭,-14.2
2024-07-22,2024,0.341048147173579,-2.780699456665081,多頭,-14.0
2024-07-23,2024,0.30122101153724334,-13.295650896473566,多頭,-5.1
2024-07-26,2024,0.29015122791987064,-7.315767606528434,盤整,-11.1
2024-07-29,2024,0.30856847236733065,-3.921633206990116,盤整,-5.1
2024-07-30,2024,0.33326630102426147,-6.090245626602753,盤整,-7.3
2024-07-31,2024,0.3484506458185138,-3.2899611925574335,盤整,-6.5
2024-08-01,2024,0.35274222976267244,-3.8372765777025974,多頭,-11.4
2024-08-02,2024,0.3340221869953335,0.7324121491314672,盤整,-15.6
2024-08-05,2024,0.36188193000560365,11.075504465762487,盤整,-4.7
2024-08-06,2024,0.33515387865918517,6.800393346282263,盤整,13.9
2024-08-07,2024,0.3164908381857298,4.949688381650774,盤整,17.1
2024-08-08,2024,0.33391948457258624,7.376725554741004,盤整,14.4
2024-08-09,2024,0.329036202960702,4.472029437794012,盤整,14.0
2024-08-12,2024,0.2803517332986281,2.1339477873318025,空頭,11.4
2024-08-13,2024,0.39530961273820003,1.6161258399830958,空頭,3.2
2024-08-14,2024,0.30663229013778354,0.5938099399607211,空頭,3.5
2024-08-15,2024,0.3477700919773538,1.5754616200742033,空頭,2.5
2024-08-16,2024,0.34204539768974546,-0.7352793126236934,空頭,3.3
2024-08-19,2024,0.40878022505526335,-0.17389845347737243,空頭,5.5
2024-08-20,2024,0.40865295400794616,-1.013192682720221,空頭,2.7
2024-08-21,2024,0.3704240425401121,0.13580425121269002,空頭,-3.8
2024-08-22,2024,0.33388252474566454,0.3895013867549535,空頭,5.2
2024-08-23,2024,0.38631443223877293,-0.29713806043402125,空頭,-1.7
2024-08-26,2024,0.3301560178110967,-5.159009933399639,空頭,-7.9
2024-08-27,2024,0.376833773414979,-4.495334685598385,空頭,-11.3
2024-08-28,2024,0.3748921781690688,-4.181682614639004,空頭,-12.3
2024-08-29,2024,0.3397631942226913,-4.762711215506821,空頭,-13.5
2024-08-30,2024,0.41119548367226616,-5.406884919182553,空頭,-15.5
2024-09-02,2024,0.4169113315042746,-5.415311826796366,空頭,-14.5
2024-09-03,2024,0.39416344332289543,-1.986944719428252,空頭,-9.0
2024-09-04,2024,0.5113066338096569,3.161749890365173,空頭,-7.1
2024-09-05,2024,0.508933161426168,3.126199103159344,空頭,-1.9
2024-09-06,2024,0.48516301889927027,1.1366822500757046,空頭,-5.4
2024-09-09,2024,0.45840649890974483,4.248161691678765,空頭,-5.7
2024-09-10,2024,0.4350109614976144,5.200037219759879,空頭,-4.0
2024-09-11,2024,0.42018962164225304,5.965146688222145,空頭,-3.2
2024-09-12,2024,0.41004005280228856,3.5954417928024673,空頭,-8.6
2024-09-13,2024,0.4167475706671618,4.60462369569361,空頭,-14.1
2024-09-16,2024,0.4218847110959942,4.616596369441206,空頭,-12.2
2024-09-18,2024,0.45177291404309844,5.276804478468411,空頭,-11.4
2024-09-19,2024,0.42352191846281045,0.8249900533918497,空頭,-8.3
2024-09-20,2024,0.39079251698359296,1.0423106741963561,空頭,-7.2
2024-09-23,2024,0.5266671501532588,0.07709038106789023,空頭,-9.9
2024-09-24,2024,0.5154105641170832,1.2071266747444964,盤整,-4.4
2024-09-25,2024,0.500828787696205,-0.6599272458878036,盤整,-5.9
2024-09-26,2024,0.5206049572422107,-0.8737550204931943,盤整,-8.1
2024-09-27,2024,0.48635874612112256,0.3454879968662894,盤整,-6.8
