date,year,pred,actual
2019-03-13,2019,-0.22200413923779916,4.16433697215548
2019-03-14,2019,-0.20239889594694221,5.091968517632739
2019-03-15,2019,-0.056058327597951485,4.680513140803355
2019-03-18,2019,-0.13438402856317413,4.609282106404633
2019-03-19,2019,-0.22777681496369778,4.277837813156382
2019-03-20,2019,-0.1965272285834813,3.9514536239191322
2019-03-21,2019,-0.22996882789880496,3.5643359049158496
2019-03-22,2019,-0.18006485476967143,3.6338702536969913
2019-03-25,2019,-0.03572568904174232,5.230793894353525
2019-03-26,2019,0.08728860260603177,4.5520493976816345
2019-03-27,2019,0.23644306621939,3.8867652498885352
2019-03-28,2019,0.2935668890141399,3.822988422836948
2019-03-29,2019,0.22237788605577,3.0700946524023776
2019-04-01,2019,-0.04090320185064243,3.400099411517643
2019-04-02,2019,-0.32934342854448595,3.797835420895579
2019-04-03,2019,-0.203107547579987,1.8005713549033242
2019-04-08,2019,-0.14798818994700572,1.727408831200572
2019-04-09,2019,-0.9801035336429175,0.664510302628174
2019-04-10,2019,-1.187460122873666,-1.2372862329708578
2019-04-11,2019,-1.0352800704258978,-0.886132279621088
2019-04-12,2019,-0.7015506278131154,-2.2860077924722
2019-04-15,2019,-1.1040613162832575,-3.2766008312185124
2019-04-16,2019,-0.3061561571980684,-3.359672762711796
2019-04-17,2019,0.0168863635027889,-4.752547452729128
2019-04-18,2019,0.07294834247794359,-5.271929808557186
2019-04-19,2019,0.15533435378898014,-5.197520171399916
2019-04-22,2019,0.09105854665990801,-4.761774746512238
2019-04-23,2019,-0.33304294788758304,-5.155781774910939
2019-04-24,2019,-0.09968925015806454,-6.522429096343362
2019-04-25,2019,-0.09425553512338662,-6.445552751574746
2019-04-26,2019,-0.7479651001773684,-5.645667141749766
2019-04-29,2019,-0.8194330781224647,-5.72946852837447
2019-04-30,2019,-0.6265747049860316,-6.071903666483392
2019-05-02,2019,-0.48824130798636434,-5.647694713703222
2019-05-03,2019,-0.5109327713481071,-5.387471499508845
2019-05-06,2019,-0.2563247923115185,-3.643623269267482
2019-05-07,2019,0.046388601304232766,-5.078846724443286
2019-05-08,2019,0.4149635750946608,-4.230156238127869
2019-05-09,2019,0.5138170340025274,-3.022917604137254
2019-05-10,2019,0.5569023016059272,-1.367685398754226
2019-05-13,2019,0.28669491860706897,0.4685417809133785
2019-05-14,2019,1.2360730049189095,0.9165102074767617
2019-05-15,2019,0.7885811177103287,0.0028407180956646627
2019-05-16,2019,0.8584876676140636,0.47791755492567756
2019-05-17,2019,0.6554487883962731,1.410135293250936
2019-05-20,2019,0.6189753362545891,1.6188051827154437
2019-05-21,2019,0.8792270853266968,2.970423813846823
2019-05-22,2019,0.8665997264451576,3.1345807011806226
2019-05-23,2019,1.2598520504312216,4.805803439341028
2019-05-24,2019,1.727761162220149,4.368297528726961
2019-05-27,2019,1.671642718806782,3.605431710264928
2019-05-28,2019,1.7532022051072331,3.299357757864141
2019-05-29,2019,2.0240391997507556,4.582897324540025
2019-05-30,2019,1.69920607280446,3.350094722233199
2019-05-31,2019,1.4068022293429612,3.7812104407395575
2019-06-03,2019,1.7631735877491947,3.4766434890434184
2019-06-04,2019,1.6640175359754679,3.017033076616249
2019-06-05,2019,0.8623725382752807,3.004123644330403
2019-06-06,2019,1.1052539260620458,3.6172808669254097
2019-06-10,2019,1.3863064649824641,1.7484552551608967
2019-06-11,2019,1.0340659422926188,0.8957593309049328
2019-06-12,2019,0.7154563718893494,1.7221727146498722
2019-06-13,2019,1.037218515745398,2.67408136153644
2019-06-14,2019,1.5098371395619608,2.847405191801733
2019-06-17,2019,1.3807889945986744,3.284636875221958
2019-06-18,2019,1.3022578812365952,3.0218402269763356
2019-06-19,2019,1.0424917901476451,0.49316309276550285
2019-06-20,2019,1.1787138818965288,0.13231327555560668
2019-06-21,2019,1.1000521014483104,0.6425534790170495
2019-06-24,2019,1.1703340547757466,1.5314324942367286
2019-06-25,2019,1.0151010015253092,2.2466264178011564
2019-06-26,2019,0.7777101047975952,2.6586122571590876
2019-06-27,2019,0.8137051436425672,1.5547758935947176
2019-06-28,2019,0.6676825125921029,1.5017477678800129
2019-07-01,2019,-0.16617724425075184,-0.08930325107888715
2019-07-02,2019,-0.29656384862657664,-0.31495280309836726
2019-07-03,2019,0.2896564009825625,0.7449898871624949
2019-07-04,2019,0.039305690655788705,-0.40971055781883203
2019-07-05,2019,-0.14589249502326285,-2.194473623945703
2019-07-08,2019,-0.122081044533663,-3.049049317193764
2019-07-09,2019,0.2818685760624611,-2.8780372949831823
2019-07-10,2019,0.26754388735460727,-3.818129959031269
2019-07-11,2019,0.1283254397350087,-3.2178961988007515
2019-07-12,2019,-0.14709927626314495,-3.25183498316296
2019-07-15,2019,-0.3805112981034421,-4.723700699586175
2019-07-16,2019,-0.3111209383881766,-4.2101588730531265
2019-07-17,2019,0.5234557520543026,-4.629920358166617
2019-07-18,2019,0.6754126187780525,-3.503844700757841
2019-07-19,2019,0.8105319495714219,-3.535668925126856
2019-07-22,2019,0.2788913367657124,-3.8560815311393104
2019-07-23,2019,0.21156977046959122,-3.8499131289473465
2019-07-24,2019,0.17155355759207724,-3.712407733893208
2019-07-25,2019,0.3868513486170546,-3.685996594588803
2019-07-26,2019,0.4481574762279517,-4.933997308111104
2019-07-29,2019,0.958724409610066,-4.579389714791748
2019-07-30,2019,1.1156844243957331,-3.6618378897413817
2019-07-31,2019,1.0874331448677652,-3.3387504030466086
2019-08-01,2019,0.8762645363030153,-1.0594730589139734
2019-08-02,2019,1.178135241269386,0.8134389479990567
2019-08-05,2019,2.1018021631458583,1.2932428063368917
2019-08-06,2019,2.9077858591142576,2.525890473556358
2019-08-07,2019,3.1301512126343543,3.56964735831653
2019-08-08,2019,2.758563909503329,2.7266689472285055
2019-08-12,2019,2.379700831392659,3.1395024617182576
2019-08-13,2019,2.8753421295351846,3.772390486612509
2019-08-14,2019,1.8665632442082987,3.4774586607056346
2019-08-15,2019,2.293399456818022,4.8456831665719236
2019-08-16,2019,2.056376997698441,4.579647227827954
2019-08-19,2019,1.4040568451719093,3.677749970206179
2019-08-20,2019,1.279055704751517,3.867426942266583
2019-08-21,2019,1.3930381826239322,3.504721731364846
2019-08-22,2019,0.802767527453059,3.797895112718397
2019-08-23,2019,0.8449589551700127,3.6145950270019878
2019-08-26,2019,1.6731255758884136,5.441462079062687
2019-08-27,2019,1.571324461138968,4.683250491228175
2019-08-28,2019,1.4828890486463036,4.1948230306039
2019-08-29,2019,0.9059286956805159,3.510178801674191
2019-08-30,2019,0.4936107298991284,3.292506627864822
2019-09-02,2019,0.057525073181660724,2.9434359675970967
2019-09-03,2019,0.5002122148199197,3.009032781124832
2019-09-04,2019,0.4690815372517136,2.2254208613618376
2019-09-05,2019,0.1689617633811229,1.6559557420193327
2019-09-06,2019,-0.10554536483342666,2.1953242108075255
2019-09-09,2019,0.17132122724890908,0.8223206068989075
2019-09-10,2019,0.17902031513732258,2.91409930460369
2019-09-11,2019,0.2555146831174484,2.9790507258800503
2019-09-12,2019,0.2825403278026587,3.0965453865371195
2019-09-16,2019,-0.03678045492860386,2.6495371224237507
2019-09-17,2019,-0.10600960387341991,2.811347648167728
2019-09-18,2019,-0.6228283706254215,2.3304008893402672
2019-09-19,2019,-0.682518914968572,3.456267726509221
2019-09-20,2019,-0.7161152333612859,2.836128014609751
2019-09-23,2019,-0.6465944855734733,3.6735897543918705
2019-09-24,2019,-0.49172955598498486,3.463176897621456
2019-09-25,2019,-0.26389813661874467,4.0586958061154865
2019-09-26,2019,-0.2511186266849587,4.248348278466052
2019-09-27,2019,-0.19579327348675124,5.0841760790715895
2019-10-01,2019,-0.9756873677532105,3.565576946747928
2019-10-02,2019,-0.6481060851387266,4.12545625271743
2019-10-03,2019,1.040992116379784,6.260993332971676
2019-10-04,2019,-0.3556981448070272,6.880089733516437
2019-10-07,2019,-0.16515615454816407,6.566127666423416
2019-10-08,2019,0.6138339679571339,5.348401742349096
2019-10-09,2019,1.927784990403773,6.332254663928993
2019-10-14,2019,0.0839106122271194,3.2559106167462604
2019-10-15,2019,-0.18560239863868416,3.6769020320740253
2019-10-16,2019,-0.24105303952025586,2.732282046756951
2019-10-17,2019,-0.22328369517914207,2.3557953602791892
2019-10-18,2019,-0.7893996531693992,3.0892057580262478
2019-10-21,2019,-0.8210312009860783,3.7162412878940287
2019-10-22,2019,-0.4119264077225827,3.41710103138515
2019-10-23,2019,-0.7504372092074512,3.4834652618804807
2019-10-24,2019,-0.5297266838686496,2.1035958919236153
2019-10-25,2019,-1.5850698443697824,2.396221003317933
2019-10-28,2019,-1.2074247926886952,2.179050501015456
2019-10-29,2019,-1.1830867887180478,2.143574966008943
2019-10-30,2019,-1.212170277890704,2.34774539817999
2019-10-31,2019,-1.3263618614208268,2.2746421028444264
2019-11-01,2019,-0.9738794628674577,0.789857125688509
2019-11-04,2019,-0.9414269286411072,-0.46742840826003995
2019-11-05,2019,-0.8073317962228417,-0.9657309367976596
2019-11-06,2019,-1.0821576300038975,-1.2237118630541222
2019-11-07,2019,-1.1790394642157402,-0.10261438358997177
2019-11-08,2019,-1.047782920150863,0.2599412411891988
2019-11-11,2019,-1.4824610160876441,2.0432683893280013
2019-11-12,2019,-1.4819846234808254,0.9328693436061464
2019-11-13,2019,-1.4087707461142192,2.031247411236481
2019-11-14,2019,-1.3833843446029308,3.3710553848679714
2019-11-15,2019,-1.3253520722040575,3.4890157562295965
2019-11-18,2019,-1.1663843210063134,2.931003863866377
2019-11-19,2019,-0.8872067814259431,3.7799835283621075
2019-11-20,2019,-0.8993702534374476,4.223553889538478
2019-11-21,2019,-0.3284045963694521,3.98528499507278
2019-11-22,2019,-0.39778523056484977,3.391430646332605
2019-11-25,2019,-0.31110121532404017,3.9843170224138857
2019-11-26,2019,-0.2503106462142809,3.4513795671004655
2019-11-27,2019,-0.04797122994495158,3.096554957046438
2019-11-28,2019,-0.10107340113603877,3.3048752354292166
2019-11-29,2019,0.3312300830598274,5.2397087097254325
2019-12-02,2019,0.9611016377351358,4.786126544511227
2019-12-03,2019,0.9250957720527001,4.0372611558866955
2019-12-04,2019,1.3250555818099836,5.1258549824637845
2019-12-05,2019,1.0613430406331918,4.448430957381211
2019-12-06,2019,1.0886831456250174,2.9606430518086757
2019-12-09,2019,1.1208829663684783,1.8828087682031258
2019-12-10,2019,1.168417828962887,1.6276453752373632
2019-12-11,2019,0.9580321278355146,2.3063439414670928
2019-12-12,2019,0.8106967108887975,1.5902612445316988
2019-12-13,2019,0.7659791311553642,1.556792449191935
2019-12-16,2019,0.5086232188308744,2.010423986391685
2019-12-17,2019,0.7831294436115857,-0.04240717334283994
2019-12-18,2019,0.5654143295009993,-0.4579932274416554
2019-12-19,2019,0.2674157389627109,0.5939811463611555
2019-12-20,2019,0.43631445668690744,1.334801673707342
2019-12-23,2019,0.4452128910854533,-4.994830409998807
2019-12-24,2019,0.4756685253980281,-4.018576564871845
2019-12-25,2019,0.6289484792557107,-5.439731248745638
2019-12-26,2019,0.628153161610218,-3.708771178425818
2019-12-27,2019,-0.038402193911370695,-4.283721164875742
2019-12-30,2019,0.620653936153502,-2.5195443266074147
2019-12-31,2019,-0.2913643983311117,-3.2035135040518026
2020-01-02,2020,0.565097536115178,-4.350323292960279
2020-01-03,2020,1.3109840386985359,-3.6859962858461603
2020-01-06,2020,1.7223117746796208,-1.4989090933427929
2020-01-07,2020,1.7072106493789967,-0.7452661207778877
2020-01-08,2020,1.0954493504721803,-0.011847238324125264
2020-01-09,2020,0.5870691188155558,-1.7302347495495196
2020-01-10,2020,0.3619404134358208,-3.1241657761348574
2020-01-13,2020,0.4309962612586101,-2.927166729131825
